,Mean,Standard Deviation,Minimum,Maximum,Range
Collimator Current (µA) ,4.465483870967741,2.4547011312497427,0.0,10.0,10.0
Stripper Current (µA),56.14838709677419,4.559253202178055,38.12,66.65,28.53000000000001
Extraction Ratio (%),92.2278494623656,4.677776517856016,83.4,100.0,16.599999999999994
Transmission Ratio (%),32.16462365591397,5.088987163076369,20.2,43.99,23.790000000000003
Stripper Angle (°),-19.574193548387097,95.95674739311703,-106.4,103.0,209.4
Vacuum During Beam On (mbar),5.36258064516129e-07,8.143754329068993e-07,6.3e-08,3.4e-06,3.337e-06
Total Run Time (min),66.09677419354838,11.472144445425974,26.0,117.0,91.0
Target Activity while Uploading (mci),3523.6451612903224,403.2530396974652,1554.0,4409.0,2855.0
Final FDG Activity (mci),1733.758064516129,477.94557865627627,52.0,2460.0,2408.0
